23,10,28,29,13,18,
11,27,0,7,15,24,
5,5,15,4,29,11,
25,22,12,16,7,25,
11,11,28,22,1,17,
28,3,21,25,17,6,
5,25,0,14,29,9,
28,6,26,9,16,24,
9,14,0,10,10,0,
26,9,9,9,0,13,
29,25,26,25,15,26,
24,5,28,20,1,25,
22,19,2,17,15,6,
26,15,7,19,19,14,
18,15,14,26,25,2,
18,27,13,9,25,5,
16,14,3,23,29,1,
25,19,21,17,2,10,
16,11,22,29,9,8,
13,8,21,4,13,9,
20,17,16,5,7,15,
17,25,1,17,7,10,
0,10,26,29,4,22,
9,17,29,23,4,25,
26,18,14,11,25,6,
12,7,8,14,0,28,
13,3,21,24,18,13,
4,8,2,17,2,5,
9,11,11,18,7,7,
19,19,3,1,18,29,
25,6,18,17,8,26,
8,8,15,11,25,29,
23,24,19,9,5,19,
16,6,21,30,26,0,
11,28,15,13,27,3,
28,20,9,25,28,22,
24,14,29,8,29,16,
22,28,22,20,23,25,
27,22,13,9,9,13,
28,18,17,23,9,0,
25,29,0,28,6,29,
21,25,25,3,28,9,
6,18,15,9,15,27,
30,5,28,27,0,10,
25,25,6,5,12,25,
17,3,2,13,0,17,
14,13,11,28,12,28,
9,27,12,23,21,25,
14,15,15,12,30,25,
25,28,4,27,6,21,
17,7,3,19,14,17,
13,27,9,0,13,30,
6,25,30,23,20,10,
30,6,5,8,30,8,
7,23,4,11,27,5,
4,11,6,16,7,24,
24,1,30,10,12,26,
14,19,6,14,29,6,
27,8,2,5,18,13,
11,17,20,18,23,28,
16,18,8,19,5,29,
10,17,1,14,12,15,
27,13,13,15,7,15,
23,15,23,25,24,13,
6,17,9,26,19,2,
29,7,7,10,1,2,
4,22,15,4,15,27,
6,22,16,30,7,14,
17,19,2,9,30,13,
23,29,13,28,21,22,
29,14,21,13,18,14,
2,3,1,2,27,1,
22,27,27,10,18,7,
29,15,8,0,2,21,
17,19,16,8,0,21,
14,21,11,19,4,19,
13,15,25,0,10,19,
11,13,2,6,0,10,
16,7,2,29,23,21,
23,2,5,9,10,27,
16,11,1,28,30,8,
2,23,28,0,16,14,
25,19,12,10,15,1,
7,14,17,6,12,17,
28,30,2,7,3,25,
15,16,7,25,28,19,
13,4,8,16,18,8,
11,0,19,15,7,16,
0,15,19,7,3,11,
30,27,10,29,23,27,
4,28,30,11,28,17,
15,23,19,3,11,3,
29,13,26,21,22,14,
28,23,10,28,21,11,
1,21,3,19,24,22,
14,16,16,18,15,29,
5,9,2,13,8,26,
30,6,23,14,0,9,
9,7,28,7,19,24,
8,24,0,5,2,0,
29,24,2,23,5,18,
29,10,1,11,6,13,
12,9,28,15,30,10,
19,13,2,0,1,9,
11,4,19,9,12,4,
5,17,0,22,24,15,
16,1,18,7,0,20,
25,4,18,13,2,8,
25,26,29,15,19,18,
29,17,25,29,19,29,
9,11,0,21,30,29,
16,10,16,5,30,19,
19,18,4,12,12,2,
20,5,16,24,15,4,
25,30,15,15,7,8,
2,17,26,30,20,0,
28,25,14,24,16,27,
3,11,13,19,30,23,
30,17,28,30,9,28,
27,13,13,15,28,24,
2,19,12,17,4,27,
17,29,23,9,16,5,
11,12,16,7,20,26,
12,2,15,5,0,16,
9,13,22,21,9,26,
5,28,21,5,4,21,
12,28,24,20,24,20,
23,27,25,20,26,5,
14,14,6,27,8,6,
21,14,9,28,11,18,
12,6,19,11,6,26,
